itemid,name,info,cost,Airlines,category,location,picture2,picture,tag1,tag2,tag3,tag4,tag5,start_date,end_date,departuretime,arrivaltime,address,temperature,other
12345,Santorini,"Santorini is one of the Cyclades islands in the Aegean Sea. It was devastated by a volcanic eruption in the 16th century BC, forever shaping its rugged landscape. The whitewashed, cubiform houses of its 2 principal towns, Fira and Oia, cling to cliffs above an underwater caldera (crater). They overlook the sea, small islands to the west and beaches made up of black, red and white lava pebbles. ",,,Travel destination,Greece,https://images.app.goo.gl/mjzoQtVRSMM4Vdmt6,http://t0.gstatic.com/licensed-image?q=tbn:ANd9GcQEeMIr6q93xZ8sOymJA7M1jqMMWHzE5BuDu11MZ1YIDArfIVVmkvSJFXyIDjDX,Wine tasting,Vineyard Tour,Volcano Tour,Sailing,Beach,,,,,,warm,
12346,Negril,"Negril is a town in western Jamaica. It’s known for its miles of sandy beaches on shallow bays with calm, turquoise waters. Seven Mile Beach, particularly the portion overlooking Long Bay, is lined with bars, restaurants and resorts, many of them international and all-inclusive. Long Bay opens onto a lagoon protected by coral reefs and is a snorkeling and scuba-diving destination. ",,,Travel destination,Jamaica,http://t0.gstatic.com/licensed-image?q=tbn:ANd9GcSRyIkTNfJt30H-unc4cZAOwHmjRs4YNWttjoBFhzfAbDQd-0jFuasULBPr73o5,https://images.app.goo.gl/tsfvzeb2Ha1S2XpHA,Party,Waterfalls,Zipline,Sailing,Beach,,,,,,warm,
12347,Puerto Rico,"Puerto Rico is a Caribbean island and unincorporated U.S. territory with a landscape of mountains, waterfalls and the El Yunque tropical rainforest. In San Juan, the capital and largest city, the Isla Verde area is known for its hotel strip, beach bars and casinos. Its Old San Juan neighborhood features colorful Spanish colonial buildings and El Morro and La Fortaleza, massive, centuries-old fortresses.",,,Travel destination,United States,https://images.app.goo.gl/b8ZmFLJGEZAS5CaP6,https://images.app.goo.gl/UZx9y1LXyDJ5t2WR7,Party,Casinos,Snorker Tour,Sailing,Beach,,,,,,warm,
12348,St. Moritz,"St. Moritz is a luxury alpine resort town in Switzerland’s Engadin valley. It has hosted the Winter Olympics twice, has the Cresta Run, a world-championship bobsled run made of natural ice, and an outdoor Olympic ice rink. Its frozen lake hosts polo, cricket and even horse racing on ice. Ski and snowboard areas include Corviglia, Diavolezza and Corvatsch, and there are well-groomed cross-country ski trails. ",,,Travel destination,Switzerland,https://images.app.goo.gl/TB6b7Q1zDSZFCAEp9,https://images.app.goo.gl/QN1oZmLiCEjHmLnLA,Exploration,Hiking,Skiing,,,,,,,,cold,
12349,Ontario,"Ontario is a province in east-central Canada that borders the U.S. and the Great Lakes. It's home to Ottawa, Canada's capital, known for Parliament Hill’s Victorian architecture and the National Gallery, featuring Canadian and indigenous art. Toronto, Ontario's capital, is home to the 553m-high CN Tower, with expansive views from its revolving restaurant, as well as High Park, site of a rare oak savannah habitat.",,,Travel destination,Canada,https://images.app.goo.gl/Q2iGsLXUAhrjz1is8,https://images.app.goo.gl/E2C31oBZ3Hanj6Fq5,Day cruise,Waterfalls,,,,,,,,,cold,
12350,Mes Amis,"If you happen to be near Sunset in Oia, you can visit this restaurant. Fusion cuisine can be tasted here. The feature of Mes Amis is serving nicely cooked spinach pie, club sandwiches and pizza salads. Most guests recommend trying tasty croissants, ice cream and baklava. Visit this place and order good beer, house wine or white wine. When visiting this place, it's a must to try great espresso, fresh juices or latte.",,,Restaurant,,https://www.tripadvisor.com/Restaurant_Review-g482941-d6895622-Reviews-Mes_Amis-Oia_Santorini_Cyclades_South_Aegean.html#photos;aggregationId=101&albumid=101&filter=7&ff=415261197,,Café,Mediterranean,Fusion,Greek,,,,,,Oia 84702 Greece,,https://www.facebook.com/Mes-Amis-Oia-Santorini-1438782759726337/
12351,La scala,"Casual cafe with a terrace & sea views serving breakfast, seafood, salads & sandwiches, plus coffee.",,,Restaurant,,https://www.tripadvisor.com/Restaurant_Review-g482942-d15207677-Reviews-La_Scala-Fira_Santorini_Cyclades_South_Aegean.html#photos;aggregationId=101&albumid=101&filter=7&ff=400359763,,Café,European,Greek,,,,,,,"Marinatou, Thira 847 00, Greece",,
12352,Blue Mahoe Restaurant,"The Blue Mahoe Restaurant is located on the West End cliffs overlooking the magnificent blue azure waters of the Caribbean Sea. We are seaside dining at its finest providing rich and unique flavours. Catch the most stunning sunset views in Jamaica and relax to the sights of Seven Mile Beach in the distance.  Our guests love our unique farm-to-table food concept. We are proud to serve ingredients sourced locally and in season, providing our guests with the tastiest dishes in Negril. Our chefs are attentive to your vision and will help execute your ideas in a romantic indoor and outdoor setting nestled atop the cliffs of the Caribbean Sea.",,,Restaurant,,https://images.app.goo.gl/7fnRk7DhwpydaJHF7,,Carribean,Seafood,Jamaican,,,,,,,"West End Cliffs, Negril Jamaica",,thespajamaica.com
12353,Flight - X24567,JFK - JTR,400,Delta Airlines,Flights,New York - Santorini,,,,,,,,5/5/22,5/6/22,5AM,3AM,,,Duration: 15H
12354,Flight - X24568,JTR - JFK,400,British Airways,Flights,Santorini - New York,,,,,,,,6/5/22,6/5/22,7AM,3PM,,,Duration: 15H
12355,Flight - Y23456,LGA - HTR - JTR,350,British Airways,Flights,New York - Santorini,,,,,,,,5/5/22,5/6/22,2PM,5AM,,,Duration: 15H
12356,Flight - Y23457,JTR - HTR - LGA,300,British Airways,Flights,Santorini - New York,,,,,,,,6/5/22,6/6/22,11PM,6AM,,,Duration: 15H
12357,Flight - Z12345,JFK - PHL - JTR,250,American Airline,Flights,New York - Santorini,,,,,,,,5/6/22,5/7/22,10PM,11AM,,,Duration: 20H
12358,Flight - Z12346,JTR - HTR - PHL - JFK,300,American Airline,Flights,Santorini - New York,,,,,,,,6/5/22,6/6/22,2AM,6PM,,,Duration: 23H
12359,Central Fira Hotel,"Our hotel is located exactly at the heart center of Fira town, actually only 50 meters away from the central square. The famous caldera with the volcano view and the sunset is only a five-minute walk from the hotel.

Surrounded by restaurants, cafes, bars and clubs you only need to walk a few meters to get into the fun of Santorini! Spotted exactly in the famous market of Fira, with the narrow alleys, all the stores await you to shop traditional products, fashion items and much much more…",70,,Housing - Hotel,,https://images.app.goo.gl/WwmZispj1W2HtZEx8,,Wifi,TV,Air conditionning,Hotel room,Single room,5/5/22,6/5/22,,,"Fira, Santorini, Thira 847 00, Greece",,Rating: 3 star
12360,Thira Hotel,"The location of Hotel Thira is just a 5 minutes’ walk from the capital of Santorini and even less for amazing caldera views.
Hotel Thira features 6 different accommodations ranging from rooms and suites to a villa and a maisonette.
Breakfast in Hotel Thira is such a delicious experience with local treats and international flavours that you can enjoy in our specially designed breakfast area.
Hotel Thira is a family-run hotel with its members welcoming visitors to Santorini for more than 3 decades.
At the next door, also owned by Thira Hotel, car rental agency Tony's, you will find some great transportation options.",56,,Housing - Hotel,,https://images.app.goo.gl/CKq8LJ69URACF2qe7,,Wifi,TV,Air conditionning,Hotel room,single room,5/6/22,6/6/22,,,"Fira, Santorini, Greece 84700",,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,